iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent,potions_discarded
3288,109641728,3990.503,640,21.02,0.0,232.5,-0.007204207591712475,33.734657287597656,0.49532878398895264,0.00644623728192073,0.056713104248046875,0.0003,0.18836879432624112,0.8159757330637007,4.81,0.64,1.7,5.92,6.21,1.37,0.88,3.96,0.02,4.781288082897663,5.95,178.35,0.03504634986165911,nan,0.04
3289,109707264,4090.285,640,19.17,0.0,218.09,-0.009698180481791496,30.553451538085938,0.5044872164726257,0.005645152144069243,0.050418853759765625,0.0003,0.19867350015073862,0.8128460686600222,3.35,0.51,1.4,5.23,5.36,1.02,0.62,3.72,0.0,4.258266831040382,5.1,166.31,0.036276232509408146,nan,0.03
3290,109772800,4193.182,640,21.95,0.0,238.73,-0.006459364667534828,42.30975341796875,0.4994528889656067,0.00547611509821877,0.051288604736328125,0.0003,0.21863117870722434,0.7990384615384616,4.72,0.62,1.81,6.04,6.17,1.43,0.77,3.97,0.01,4.704387970268726,6.42,183.14,0.03607856680173427,nan,0.02
3291,109838336,4301.354,639,20.26,0.0,230.16,-0.007108086720108986,37.286476135253906,0.5173145532608032,0.0031131650222562257,0.028224945068359375,0.0003,0.21147260273972604,0.7770767613038907,4.34,0.6,1.56,5.7,5.58,1.18,0.66,3.74,0.0,4.275917927622795,5.96,165.5,0.037199362413957715,nan,0.03
3292,109903872,4414.942,638,20.65,0.0,220.66,-0.006514859385788441,36.743568420410156,0.5098594427108765,0.003514876525400723,0.031055450439453125,0.0003,0.23571217056559077,0.8076514346439958,4.93,0.51,1.65,5.53,5.69,1.29,0.73,3.67,0.01,4.286554820537567,6.0,167.15,0.036362715385621414,nan,0.02
3293,109969408,4519.703,638,20.78,0.0,227.56,-0.003681967267766595,29.47076416015625,0.4989340901374817,0.002464278045664514,0.022357940673828125,0.0003,0.18503060656649972,0.8034102306920762,4.67,0.52,1.58,5.64,5.8,1.09,0.71,4.0,0.0,4.218531819581986,5.94,176.47,0.036006474983878434,nan,0.04
3294,110034944,4638.003,635,18.97,0.0,214.23,-0.006750735454261303,33.648719787597656,0.5013446807861328,0.0027577138628629427,0.0242767333984375,0.0003,0.2059880239520958,0.8092175777063236,3.57,0.55,1.53,5.58,5.73,1.44,0.68,3.61,0.0,4.312636786941439,5.49,164.04,0.038710143184289336,nan,0.08
3295,110100480,4755.528,633,20.73,0.0,226.77,-0.010169321671128273,36.13068389892578,0.5333245992660522,0.004572593254025037,0.040760040283203125,0.0003,0.2187588551997733,0.781855249745158,4.98,0.59,1.39,5.7,5.74,1.1,0.63,4.01,0.0,4.3092287454009055,5.59,172.07,0.03635307666263543,nan,0.06
3296,110166016,4874.983,631,20.17,0.0,221.79,-0.010280563496053219,34.129173278808594,0.49642840027809143,0.0049557541777858205,0.040012359619140625,0.0003,0.20555877243775333,0.8071278825995807,4.34,0.49,1.73,5.74,5.95,1.31,0.62,4.02,0.0,4.473967113867402,5.79,172.87,0.03624412283534184,nan,0.04
3297,110231552,4995.099,629,18.57,0.0,208.24,-0.011018604040145874,33.29552459716797,0.5232445597648621,0.004243102266173082,0.03826141357421875,0.0003,0.19958233890214797,0.8109619686800895,4.43,0.47,1.31,5.44,5.28,0.96,0.6,3.72,0.01,4.047597215175629,4.91,161.32,0.03868613898521289,nan,0.04
3298,110297088,5106.372,628,21.61,0.0,230.32,-0.0032772570848464966,33.88320541381836,0.5281969308853149,0.0037850525205556096,0.034454345703125,0.0003,0.20921787709497205,0.7979695431472081,4.91,0.56,1.51,5.97,6.15,1.06,0.93,4.16,0.0,4.732660508453846,5.91,176.12,0.0378869422711432,nan,0.04
3299,110362624,5212.725,628,19.34,0.0,212.59,-0.006596441380679607,34.71788787841797,0.5147116184234619,0.003053261885952452,0.026561737060546875,0.0003,0.23248882265275708,0.788826815642458,3.83,0.38,1.41,5.5,5.52,1.05,0.66,3.81,0.02,4.146762977838517,5.24,167.36,0.0361523354658857,nan,0.0
3300,110428160,5317.339,628,20.89,0.0,231.79,-0.005590382032096386,37.53184509277344,0.507032036781311,0.0048305750337078734,0.048709869384765625,0.0003,0.2250207583725436,0.8343434343434344,5.17,0.47,1.62,5.83,5.55,1.19,0.71,3.65,0.01,4.150516784191131,5.9,174.42,0.037470624316483736,nan,0.03
3301,110493696,5424.708,628,20.04,0.0,225.75,-0.007161851041018963,35.0185546875,0.5210108757019043,0.0055893528357842115,0.051143646240234375,0.0003,0.19557089444923784,0.8126984126984127,4.33,0.44,1.56,5.87,5.85,1.33,0.73,3.79,0.0,4.548029348254204,5.78,167.46,0.033506599080283195,nan,0.01
