iter,global_step,wall_seconds,sps,ep_ret,win,ep_len,pg,v,ent,kl,clipfrac,lr,energy_unspent,card_take,upgrades,removes,elites,potions_got,potions_used,potions_used_elite,potions_used_boss,potions_used_normal,potions_expired,potion_use_hp,relics,hp_lost,aux,potion_ent
2365,77529088,2735.951,574,20.69,0.0,225.6,-0.005318136885762215,16.617450714111328,0.49937283992767334,0.003571633937212937,0.03621673583984375,0.0003,0.19658590308370044,0.840122199592668,4.45,0.63,1.25,5.63,5.63,0.91,0.63,4.09,0.0,4.200471257865429,5.52,166.39,0.038400569697842,nan
2366,77561856,2794.087,574,18.13,0.0,200.67,-0.01228073425590992,16.499095916748047,0.5226870179176331,0.004008213224665269,0.033905029296875,0.0003,0.25511717591219224,0.8431818181818181,3.76,0.39,1.04,4.44,4.58,0.82,0.55,3.21,0.0,3.3195788984000685,4.69,150.34,0.037829885724931955,nan
2367,77594624,2848.236,575,19.82,0.0,218.94,-0.009985245764255524,14.2879638671875,0.5189087986946106,0.004653077839634534,0.0400543212890625,0.0003,0.2445793581960104,0.8209424083769633,3.93,0.51,1.3,5.41,5.61,0.88,0.61,4.12,0.02,4.243607702255249,5.18,169.27,0.039878312731161714,nan
2368,77627392,2906.901,574,19.3,0.0,203.28,-0.008641407825052738,16.825361251831055,0.488798052072525,0.006507802740998159,0.049652099609375,0.0003,0.23074553296364755,0.838452787258248,4.37,0.47,1.15,5.04,5.06,0.82,0.59,3.65,0.0,3.787977873086929,5.17,156.47,0.036651932168751955,nan
2369,77660160,2959.321,575,19.21,0.0,214.81,0.005034941248595715,13.990468978881836,0.48997068405151367,0.017818138145594277,0.0778564453125,0.0003,0.20980449372629123,0.8209745762711864,3.98,0.44,1.26,5.16,5.42,1.0,0.59,3.83,0.0,4.037041589319706,5.25,162.99,0.03996431939303875,nan
2370,77692928,3014.331,576,17.6,0.0,188.04,-0.007761439308524132,12.752288818359375,0.4907475709915161,0.004078781763041661,0.03693389892578125,0.0003,0.18283093053735255,0.82063305978898,3.06,0.4,1.17,4.83,4.94,0.88,0.6,3.46,0.0,3.569160250425339,4.87,147.38,0.03711518947966397,nan
2371,77725696,3068.507,576,20.85,0.0,224.17,-0.006224429700523615,13.816040992736816,0.4738297760486603,0.0029065278193343147,0.028411865234375,0.0003,0.17362887183859052,0.8164300202839757,4.53,0.46,1.42,5.77,5.8,0.95,0.77,4.08,0.0,4.405584146678447,5.66,173.17,0.03460167290177196,nan
2372,77758464,3126.006,576,19.25,0.0,203.39,-0.01117918360978365,16.724544525146484,0.48104292154312134,0.004504300349537971,0.03517913818359375,0.0003,0.17413091136861886,0.822742474916388,4.05,0.38,1.2,4.88,4.76,0.83,0.77,3.16,0.0,3.5538191297650337,5.19,159.76,0.03926370991393924,nan
2373,77791232,3184.558,576,20.29,0.0,214.94,-0.007034409791231155,13.860896110534668,0.47235551476478577,0.0036645033651723224,0.03284454345703125,0.0003,0.18077601410934743,0.8012486992715921,4.15,0.54,1.3,5.37,5.31,0.9,0.7,3.71,0.0,4.054777607917786,5.32,168.93,0.03452675568405539,nan
2374,77824000,3244.346,575,19.03,0.0,205.37,-0.007819369435310364,17.444496154785156,0.48765504360198975,0.00295301203669851,0.02565765380859375,0.0003,0.2001207364926049,0.8249158249158249,3.8,0.46,1.28,4.86,5.05,0.89,0.67,3.49,0.0,3.8170658901333807,5.02,162.46,0.038021568674594164,nan
2375,77856768,3299.19,576,20.08,0.0,210.47,-0.010786855593323708,18.31601333618164,0.47495949268341064,0.0035261761174467665,0.02658843994140625,0.0003,0.17813157104235505,0.8167202572347267,4.48,0.42,1.4,5.18,5.12,0.84,0.62,3.66,0.0,3.8573168897628785,5.55,163.31,0.035256776958703995,nan
2376,77889536,3358.417,575,20.13,0.0,211.88,-0.011277405545115471,15.311208724975586,0.47864317893981934,0.005209253947356274,0.03679656982421875,0.0003,0.20543445804717828,0.8329764453961456,3.55,0.46,1.43,5.36,5.28,1.01,0.73,3.54,0.0,3.8812166905403136,5.39,167.33,0.035372491693124175,nan
2377,77922304,3414.51,575,17.8,0.0,211.58,-0.009267310611903667,13.914112091064453,0.5047942399978638,0.0032297652650186137,0.02698516845703125,0.0003,0.1877358490566038,0.8037166085946573,3.14,0.46,1.24,4.69,4.63,0.88,0.56,3.19,0.0,3.386356008052826,4.56,150.48,0.03860386728774756,nan
2378,77955072,3471.741,575,19.9,0.0,219.15,-0.010137803852558136,15.331615447998047,0.49680984020233154,0.0035333121906546694,0.03055572509765625,0.0003,0.20445765230312035,0.825531914893617,4.1,0.47,1.31,4.89,5.29,0.9,0.76,3.63,0.0,3.9547213995456696,5.35,167.26,0.04094900959171355,nan
2379,77987840,3529.494,575,18.05,0.0,195.98,-0.008799044415354729,14.119640350341797,0.5185195803642273,0.004068967675038948,0.0323333740234375,0.0003,0.1494106403313157,0.8263403263403264,3.42,0.44,1.13,4.87,4.94,0.82,0.61,3.51,0.0,3.647543254196644,4.57,147.07,0.038239152752794325,nan
2380,78020608,3592.282,574,19.26,0.0,199.4,-0.00830261129885912,14.040078163146973,0.507621169090271,0.006994811492859299,0.05063629150390625,0.0003,0.1829152111781518,0.8424507658643327,4.25,0.48,1.21,5.05,5.28,0.81,0.56,3.91,0.0,3.8940047097206114,5.18,157.03,0.03477061295416206,nan
2381,78053376,3648.904,574,19.19,0.0,206.1,-0.006616950035095215,16.057430267333984,0.4854017496109009,0.0028840722005440966,0.02596282958984375,0.0003,0.16819852941176472,0.8455467869222097,3.92,0.43,1.32,5.16,5.3,1.1,0.65,3.55,0.0,3.9795681911706926,5.12,159.21,0.039607361890375614,nan
2382,78086144,3705.611,574,19.11,0.0,201.74,-0.005486718378961086,16.884998321533203,0.5101625323295593,0.005279403644095737,0.04195404052734375,0.0003,0.18981772470144564,0.8356756756756757,3.81,0.43,1.23,5.06,4.88,0.92,0.49,3.47,0.01,3.515203968882561,5.14,158.94,0.036124325823038816,nan
2383,78118912,3763.279,574,17.97,0.0,190.83,-0.004914912860840559,15.036739349365234,0.5098684430122375,0.004521536813513194,0.041412353515625,0.0003,0.23051735428945644,0.8531139835487661,3.56,0.46,1.19,4.93,4.86,1.03,0.52,3.31,0.0,3.599862756729126,4.78,153.71,0.039296642993576825,nan
2384,78151680,3819.79,574,19.1,0.0,204.39,-0.012164151296019554,16.910099029541016,0.48464226722717285,0.002544953656439475,0.02005767822265625,0.0003,0.2221882640586797,0.8553530751708428,3.87,0.43,1.36,5.17,5.08,1.02,0.65,3.41,0.0,3.878366202712059,5.3,165.68,0.038084267638623714,nan
2385,78184448,3878.213,574,20.89,0.0,218.2,-0.009988225065171719,14.450331687927246,0.49365973472595215,0.003693954666744048,0.0309906005859375,0.0003,0.15859669469411425,0.860248447204969,4.44,0.55,1.24,5.57,5.65,0.89,0.59,4.17,0.02,4.268433048725128,5.5,170.84,0.033731461327988654,nan
